CO_MUN_GEO;NO_MUN;NO_MUN_MIN;CO_MUN_ATUALIZADOS
2611606;RECIFE;Recife;2611606
2611705;RIACHO DAS ALMAS;Riacho das Almas;2611705
2611804;RIBEIRAO;Ribeirão;2611804
2611903;RIO FORMOSO;Rio Formoso;2611903
2612000;SAIRE;Sairé;2612000
2612109;SALGADINHO;Salgadinho;2612109
2612208;SALGUEIRO;Salgueiro;2612208
2612307;SALOA;Saloá;2612307
2612406;SANHARO;Sanharó;2612406
2612455;SANTA CRUZ;Santa Cruz;2411205
2612471;SANTA CRUZ DA BAIXA VERDE;Santa Cruz da Baixa Verde;2612471
2612505;SANTA CRUZ DO CAPIBARIBE;Santa Cruz do Capibaribe;2612505
2612554;SANTA FILOMENA;Santa Filomena;2612554
2612604;SANTA MARIA DA BOA VISTA;Santa Maria da Boa Vista;2612604
2612703;SANTA MARIA DO CAMBUCA;Santa Maria do Cambucá;2612703
2612802;SANTA TEREZINHA;Santa Terezinha;5107776
2612901;SAO BENEDITO DO SUL;São Benedito do Sul;2612901
2613008;SAO BENTO DO UNA;São Bento do Una;2613008
2613107;SAO CAITANO;São Caitano;2613107
2613206;SAO JOAO;São João;2613206
2613305;SAO JOAQUIM DO MONTE;São Joaquim do Monte;2613305
2613404;SAO JOSE DA COROA GRANDE;São José da Coroa Grande;2613404
2613503;SAO JOSE DO BELMONTE;São José do Belmonte;2613503
2613602;SAO JOSE DO EGITO;São José do Egito;2613602
2613701;SAO LOURENCO DA MATA;São Lourenço da Mata;2613701
2613800;SAO VICENTE FERRER;São Vicente Ferrer;2613800
2613909;SERRA TALHADA;Serra Talhada;2613909
2614006;SERRITA;Serrita;2614006
2614105;SERTANIA;Sertânia;2614105
2614204;SIRINHAEM;Sirinhaém;2614204
2614303;MOREILANDIA;Moreilândia;2614303
2614402;SOLIDAO;Solidão;2614402
2614501;SURUBIM;Surubim;2614501
2614600;TABIRA;Tabira;2614600
2614709;TACAIMBO;Tacaimbó;2614709
2614808;TACARATU;Tacaratu;2614808
2614857;TAMANDARE;Tamandaré;2614857
2615003;TAQUARITINGA DO NORTE;Taquaritinga do Norte;2615003
2615102;TEREZINHA;Terezinha;2615102
2615201;TERRA NOVA;Terra Nova;2615201
2615300;TIMBAUBA;Timbaúba;2615300
2615409;TORITAMA;Toritama;2615409
3102704;CACHOEIRA DE PAJEU;Cachoeira de Pajeú;3102704
3102803;ANDRELANDIA;Andrelândia;3102803
3102852;ANGELANDIA;Angelândia;3102852
3102902;ANTONIO CARLOS;Antônio Carlos;4201208
3103009;ANTONIO DIAS;Antônio Dias;3103009
3103108;ANTONIO PRADO DE MINAS;Antônio Prado de Minas;3103108
3103207;ARACAI;Araçaí;3103207
3103306;ARACITABA;Aracitaba;3103306
3103405;ARACUAI;Araçuaí;3103405
3103504;ARAGUARI;Araguari;3103504
3103603;ARANTINA;Arantina;3103603
3103702;ARAPONGA;Araponga;3103702
3103751;ARAPORA;Araporã;3103751
3103801;ARAPUA;Arapuá;3103801
3103900;ARAUJOS;Araújos;3103900
3104007;ARAXA;Araxá;3104007
3104106;ARCEBURGO;Arceburgo;3104106
3104205;ARCOS;Arcos;3104205
3104304;AREADO;Areado;3104304
3104403;ARGIRITA;Argirita;3104403
3104452;ARICANDUVA;Aricanduva;3104452
3104502;ARINOS;Arinos;3104502
3104601;ASTOLFO DUTRA;Astolfo Dutra;3104601
3104700;ATALEIA;Ataléia;3104700
3104809;AUGUSTO DE LIMA;Augusto de Lima;3104809
3104908;BAEPENDI;Baependi;3104908
3105004;BALDIM;Baldim;3105004
3105103;BAMBUI;Bambuí;3105103
3105202;BANDEIRA;Bandeira;3105202
3105301;BANDEIRA DO SUL;Bandeira do Sul;3105301
3105400;BARAO DE COCAIS;Barão de Cocais;3105400
3105509;BARAO DE MONTE ALTO;Barão de Monte Alto;3105509
3105608;BARBACENA;Barbacena;3105608
3105707;BARRA LONGA;Barra Longa;3105707
3105905;BARROSO;Barroso;3105905
3106002;BELA VISTA DE MINAS;Bela Vista de Minas;3106002
3106101;BELMIRO BRAGA;Belmiro Braga;3106101
3106200;BELO HORIZONTE;Belo Horizonte;3106200
3106309;BELO ORIENTE;Belo Oriente;3106309
3106408;BELO VALE;Belo Vale;3106408
3106507;BERILO;Berilo;3106507
3106606;BERTOPOLIS;Bertópolis;3106606
3106655;BERIZAL;Berizal;3106655
3106705;BETIM;Betim;3106705
3106804;BIAS FORTES;Bias Fortes;3106804
3106903;BICAS;Bicas;3106903
3107000;BIQUINHAS;Biquinhas;3107000
3107109;BOA ESPERANCA;Boa Esperança;3201001
3107208;BOCAINA DE MINAS;Bocaina de Minas;3107208
3107307;BOCAIUVA;Bocaiúva;3107307
3107406;BOM DESPACHO;Bom Despacho;3107406
3107505;BOM JARDIM DE MINAS;Bom Jardim de Minas;3107505
3107604;BOM JESUS DA PENHA;Bom Jesus da Penha;3107604
3107703;BOM JESUS DO AMPARO;Bom Jesus do Amparo;3107703
1506807;SANTAREM;Santarém;1506807
1506906;SANTAREM NOVO;Santarém Novo;1506906
1507003;SANTO ANTONIO DO TAUA;Santo Antônio do Tauá;1507003
1507102;SAO CAETANO DE ODIVELAS;São Caetano de Odivelas;1507102
1507151;SAO DOMINGOS DO ARAGUAIA;São Domingos do Araguaia;1507151
1507201;SAO DOMINGOS DO CAPIM;São Domingos do Capim;1507201
1507300;SAO FELIX DO XINGU;São Félix do Xingu;1507300
1507409;SAO FRANCISCO DO PARA;São Francisco do Pará;1507409
1507458;SAO GERALDO DO ARAGUAIA;São Geraldo do Araguaia;1507458
1507466;SAO JOAO DA PONTA;São João da Ponta;1507466
1507474;SAO JOAO DE PIRABAS;São João de Pirabas;1507474
1507508;SAO JOAO DO ARAGUAIA;São João do Araguaia;1507508
1507607;SAO MIGUEL DO GUAMA;São Miguel do Guamá;1507607
1507706;SAO SEBASTIAO DA BOA VISTA;São Sebastião da Boa Vista;1507706
1507755;SAPUCAIA;Sapucaia;3305406
1507805;SENADOR JOSE PORFIRIO;Senador José Porfírio;1507805
1507904;SOURE;Soure;1507904
1507953;TAILANDIA;Tailândia;1507953
1507961;TERRA ALTA;Terra Alta;1507961
1507979;TERRA SANTA;Terra Santa;1507979
1508001;TOME-ACU;Tomé-Açu;1508001
1508035;TRACUATEUA;Tracuateua;1508035
1508050;TRAIRAO;Trairão;1508050
1508084;TUCUMA;Tucumã;1508084
1508100;TUCURUI;Tucuruí;1508100
1508126;ULIANOPOLIS;Ulianópolis;1508126
1508159;URUARA;Uruará;1508159
1508209;VIGIA;Vigia;1508209
1508308;VISEU;Viseu;1508308
1508357;VITORIA DO XINGU;Vitória do Xingu;1508357
1508407;XINGUARA;Xinguara;1508407
1600055;SERRA DO NAVIO;Serra do Navio;1600055
1600105;AMAPA;Amapá;1600105
1600154;PEDRA BRANCA DO AMAPARI;Pedra Branca do Amapari;1600154
1600204;CALCOENE;Calçoene;1600204
1600212;CUTIAS;Cutias;1600212
1600238;FERREIRA GOMES;Ferreira Gomes;1600238
1600253;ITAUBAL;Itaubal;1600253
1600279;LARANJAL DO JARI;Laranjal do Jari;1600279
1600303;MACAPA;Macapá;1600303
1600402;MAZAGAO;Mazagão;1600402
1600501;OIAPOQUE;Oiapoque;1600501
1600535;PORTO GRANDE;Porto Grande;1600535
1600550;PRACUUBA;Pracuúba;1600550
1600600;SANTANA;Santana;1600600
1600709;TARTARUGALZINHO;Tartarugalzinho;1600709
1600808;VITORIA DO JARI;Vitória do Jari;1600808
1700251;ABREULANDIA;Abreulândia;1700251
1700301;AGUIARNOPOLIS;Aguiarnópolis;1700301
1700350;ALIANCA DO TOCANTINS;Aliança do Tocantins;1700350
1700400;ALMAS;Almas;1700400
1700707;ALVORADA;Alvorada;1700707
1701002;ANANAS;Ananás;1701002
1701051;ANGICO;Angico;1701051
1701101;APARECIDA DO RIO NEGRO;Aparecida do Rio Negro;1701101
1701309;ARAGOMINAS;Aragominas;1701309
1701903;ARAGUACEMA;Araguacema;1701903
1702000;ARAGUACU;Araguaçu;1702000
1702109;ARAGUAINA;Araguaína;1702109
1702158;ARAGUANA;Araguanã;1702158
1702208;ARAGUATINS;Araguatins;1702208
1702307;ARAPOEMA;Arapoema;1702307
1702406;ARRAIAS;Arraias;1702406
1702554;AUGUSTINOPOLIS;Augustinópolis;1702554
1702703;AURORA DO TOCANTINS;Aurora do Tocantins;1702703
1702901;AXIXA DO TOCANTINS;Axixá do Tocantins;1702901
1703008;BABACULANDIA;Babaçulândia;1703008
1703057;BANDEIRANTES DO TOCANTINS;Bandeirantes do Tocantins;1703057
1703073;BARRA DO OURO;Barra do Ouro;1703073
1703107;BARROLANDIA;Barrolândia;1703107
1703206;BERNARDO SAYAO;Bernardo Sayão;1703206
1703305;BOM JESUS DO TOCANTINS;Bom Jesus do Tocantins;1703305
1703602;BRASILANDIA DO TOCANTINS;Brasilândia do Tocantins;1703602
1703701;BREJINHO DE NAZARE;Brejinho de Nazaré;1703701
1703800;BURITI DO TOCANTINS;Buriti do Tocantins;1703800
1703826;CACHOEIRINHA;Cachoeirinha;1703826
1703842;CAMPOS LINDOS;Campos Lindos;1703842
1703867;CARIRI DO TOCANTINS;Cariri do Tocantins;1703867
1703883;CARMOLANDIA;Carmolândia;1703883
1703891;CARRASCO BONITO;Carrasco Bonito;1703891
1703909;CASEARA;Caseara;1703909
1704105;CENTENARIO;Centenário;1704105
1704600;CHAPADA DE AREIA;Chapada de Areia;1704600
1705102;CHAPADA DA NATIVIDADE;Chapada da Natividade;1705102
1705508;COLINAS DO TOCANTINS;Colinas do Tocantins;1705508
1705557;COMBINADO;Combinado;1705557
1705607;CONCEICAO DO TOCANTINS;Conceição do Tocantins;1705607
1706001;COUTO DE MAGALHAES;Couto de Magalhães;1706001
1706100;CRISTALANDIA;Cristalândia;1706100
1706258;CRIXAS DO TOCANTINS;Crixás do Tocantins;1706258
1706506;DARCINOPOLIS;Darcinópolis;1706506
1707009;DIANOPOLIS;Dianópolis;1707009
1707108;DIVINOPOLIS DO TOCANTINS;Divinópolis do Tocantins;1707108
1707207;DOIS IRMAOS DO TOCANTINS;Dois Irmãos do Tocantins;1707207
1707306;DUERE;Dueré;1707306
1707405;ESPERANTINA;Esperantina;1707405
1707553;FATIMA;Fátima;1707553
1707652;FIGUEIROPOLIS;Figueirópolis;1707652
1707702;FILADELFIA;Filadélfia;1707702
1708205;FORMOSO DO ARAGUAIA;Formoso do Araguaia;1708205
1708254;FORTALEZA DO TABOCAO;Fortaleza do Tabocão;1708254
1708304;GOIANORTE;Goianorte;1708304
1709005;GOIATINS;Goiatins;1709005
1709302;GUARAI;Guaraí;1709302
1709500;GURUPI;Gurupi;1709500
1709807;IPUEIRAS;Ipueiras;1709807
1710508;ITACAJA;Itacajá;1710508
1710706;ITAGUATINS;Itaguatins;1710706
1710904;ITAPIRATINS;Itapiratins;1710904
1711100;ITAPORA DO TOCANTINS;Itaporã do Tocantins;1711100
1711506;JAU DO TOCANTINS;Jaú do Tocantins;1711506
1711803;JUARINA;Juarina;1711803
1711902;LAGOA DA CONFUSAO;Lagoa da Confusão;1711902
1711951;LAGOA DO TOCANTINS;Lagoa do Tocantins;1711951
1712009;LAJEADO;Lajeado;1712009
1712157;LAVANDEIRA;Lavandeira;1712157
1712405;LIZARDA;Lizarda;1712405
1712454;LUZINOPOLIS;Luzinópolis;1712454
1712504;MARIANOPOLIS DO TOCANTINS;Marianópolis do Tocantins;1712504
1712702;MATEIROS;Mateiros;1712702
1712801;MAURILANDIA DO TOCANTINS;Maurilândia do Tocantins;1712801
1713205;MIRACEMA DO TOCANTINS;Miracema do Tocantins;1713205
1713304;MIRANORTE;Miranorte;1713304
1713601;MONTE DO CARMO;Monte do Carmo;1713601
1713700;MONTE SANTO DO TOCANTINS;Monte Santo do Tocantins;1713700
1713809;PALMEIRAS DO TOCANTINS;Palmeiras do Tocantins;1713809
1713957;MURICILANDIA;Muricilândia;1713957
1714203;NATIVIDADE;Natividade;3303104
1714302;NAZARE;Nazaré;1714302
1714880;NOVA OLINDA;Nova Olinda;1714880
1715002;NOVA ROSALANDIA;Nova Rosalândia;1715002
1715101;NOVO ACORDO;Novo Acordo;1715101
1715150;NOVO ALEGRE;Novo Alegre;1715150
1715259;NOVO JARDIM;Novo Jardim;1715259
1715507;OLIVEIRA DE FATIMA;Oliveira de Fátima;1715507
1715705;PALMEIRANTE;Palmeirante;1715705
1715754;PALMEIROPOLIS;Palmeirópolis;1715754
1716109;PARAISO DO TOCANTINS;Paraíso do Tocantins;1716109
1716208;PARANA;Paranã;1716208
1716307;PAU D'ARCO;Pau D'Arco;1716307
1716505;PEDRO AFONSO;Pedro Afonso;1716505
1716604;PEIXE;Peixe;1716604
1716653;PEQUIZEIRO;Pequizeiro;1716653
1716703;COLMEIA;Colméia;1716703
1717008;PINDORAMA DO TOCANTINS;Pindorama do Tocantins;1717008
1717206;PIRAQUE;Piraquê;1717206
1717503;PIUM;Pium;1717503
1717800;PONTE ALTA DO BOM JESUS;Ponte Alta do Bom Jesus;1717800
1717909;PONTE ALTA DO TOCANTINS;Ponte Alta do Tocantins;1717909
1718006;PORTO ALEGRE DO TOCANTINS;Porto Alegre do Tocantins;1718006
1718204;PORTO NACIONAL;Porto Nacional;1718204
1718303;PRAIA NORTE;Praia Norte;1718303
1718402;PRESIDENTE KENNEDY;Presidente Kennedy;3204302
1718451;PUGMIL;Pugmil;1718451
1718501;RECURSOLANDIA;Recursolândia;1718501
1718550;RIACHINHO;Riachinho;1718550
1718659;RIO DA CONCEICAO;Rio da Conceição;1718659
1718709;RIO DOS BOIS;Rio dos Bois;1718709
1718758;RIO SONO;Rio Sono;1718758
1718808;SAMPAIO;Sampaio;1718808
1718840;SANDOLANDIA;Sandolândia;1718840
1718865;SANTA FE DO ARAGUAIA;Santa Fé do Araguaia;1718865
1718881;SANTA MARIA DO TOCANTINS;Santa Maria do Tocantins;1718881
2208007;PICOS;Picos;2208007
2208106;PIMENTEIRAS;Pimenteiras;2208106
2208205;PIO IX;Pio IX;2208205
2208304;PIRACURUCA;Piracuruca;2208304
2208403;PIRIPIRI;Piripiri;2208403
2208502;PORTO;Porto;2208502
2208551;PORTO ALEGRE DO PIAUI;Porto Alegre do Piauí;2208551
2208601;PRATA DO PIAUI;Prata do Piauí;2208601
2208650;QUEIMADA NOVA;Queimada Nova;2208650
2208700;REDENCAO DO GURGUEIA;Redenção do Gurguéia;2208700
2208809;REGENERACAO;Regeneração;2208809
2208858;RIACHO FRIO;Riacho Frio;2208858
2208874;RIBEIRA DO PIAUI;Ribeira do Piauí;2208874
2208908;RIBEIRO GONCALVES;Ribeiro Gonçalves;2208908
2209005;RIO GRANDE DO PIAUI;Rio Grande do Piauí;2209005
2209104;SANTA CRUZ DO PIAUI;Santa Cruz do Piauí;2209104
2209153;SANTA CRUZ DOS MILAGRES;Santa Cruz dos Milagres;2209153
2209203;SANTA FILOMENA;Santa Filomena;2612554
2209302;SANTA LUZ;Santa Luz;2209302
2209351;SANTANA DO PIAUI;Santana do Piauí;2209351
2209377;SANTA ROSA DO PIAUI;Santa Rosa do Piauí;2209377
2209401;SANTO ANTONIO DE LISBOA;Santo Antônio de Lisboa;2209401
2209450;SANTO ANTONIO DOS MILAGRES;Santo Antônio dos Milagres;2209450
2209500;SANTO INACIO DO PIAUI;Santo Inácio do Piauí;2209500
2209559;SAO BRAZ DO PIAUI;São Braz do Piauí;2209559
2209609;SAO FELIX DO PIAUI;São Félix do Piauí;2209609
2209658;SAO FRANCISCO DE ASSIS PIAUI;São Francisco de Assis Piauí;#N/D
2209708;SAO FRANCISCO DO PIAUI;São Francisco do Piauí;2209708
2209757;SAO GONCALO DO GURGUEIA;São Gonçalo do Gurguéia;2209757
2209807;SAO GONCALO DO PIAUI;São Gonçalo do Piauí;2209807
2209856;SAO JOAO DA CANABRAVA;São João da Canabrava;2209856
2209872;SAO JOAO DA FRONTEIRA;São João da Fronteira;2209872
2209906;SAO JOAO DA SERRA;São João da Serra;2209906
2209955;SAO JOAO DA VARJOTA;São João da Varjota;2209955
2209971;SAO JOAO DO ARRAIAL;São João do Arraial;2209971
2210003;SAO JOAO DO PIAUI;São João do Piauí;2210003
2210052;SAO JOSE DO DIVINO;São José do Divino;2210052
2210102;SAO JOSE DO PEIXE;São José do Peixe;2210102
2210201;SAO JOSE DO PIAUI;São José do Piauí;2210201
2210300;SAO JULIAO;São Julião;2210300
2210359;SAO LOURENCO DO PIAUI;São Lourenço do Piauí;2210359
2210375;SAO LUIS DO PIAUI;São Luis do Piauí;2210375
2210383;SAO MIGUEL DA BAIXA GRANDE;São Miguel da Baixa Grande;2210383
2210391;SAO MIGUEL DO FIDALGO;São Miguel do Fidalgo;2210391
2210409;SAO MIGUEL DO TAPUIO;São Miguel do Tapuio;2210409
2210508;SAO PEDRO DO PIAUI;São Pedro do Piauí;2210508
2210607;SAO RAIMUNDO NONATO;São Raimundo Nonato;2210607
2210623;SEBASTIAO BARROS;Sebastião Barros;2210623
2210631;SEBASTIAO LEAL;Sebastião Leal;2210631
2210656;SIGEFREDO PACHECO;Sigefredo Pacheco;2210656
2210706;SIMOES;Simões;2210706
2210805;SIMPLICIO MENDES;Simplício Mendes;2210805
2210904;SOCORRO DO PIAUI;Socorro do Piauí;2210904
2210938;SUSSUAPARA;Sussuapara;2210938
2210953;TAMBORIL DO PIAUI;Tamboril do Piauí;2210953
2210979;TANQUE DO PIAUI;Tanque do Piauí;2210979
2211001;TERESINA;Teresina;2211001
2211100;UNIAO;União;2211100
2211209;URUCUI;Uruçuí;2211209
2211308;VALENCA DO PIAUI;Valença do Piauí;2211308
2211357;VARZEA BRANCA;Várzea Branca;2211357
2211407;VARZEA GRANDE;Várzea Grande;5108402
2211506;VERA MENDES;Vera Mendes;2211506
2211605;VILA NOVA DO PIAUI;Vila Nova do Piauí;2211605
2211704;WALL FERRAZ;Wall Ferraz;2211704
2300101;ABAIARA;Abaiara;2300101
2300150;ACARAPE;Acarapé;#N/D
2300200;ACARAU;Acaraú;2300200
2300309;ACOPIARA;Acopiara;2300309
2300408;AIUABA;Aiuaba;2300408
2300507;ALCANTARAS;Alcântaras;2300507
2300606;ALTANEIRA;Altaneira;2300606
2300705;ALTO SANTO;Alto Santo;2300705
2300754;AMONTADA;Amontada;2300754
2300804;ANTONINA DO NORTE;Antonina do Norte;2300804
2300903;APUIARES;Apuiarés;2300903
2301000;AQUIRAZ;Aquiraz;2301000
2301109;ARACATI;Aracati;2301109
2301208;ARACOIABA;Aracoiaba;2301208
2301257;ARARENDA;Ararendá;2301257
2301307;ARARIPE;Araripe;2301307
2301406;ARATUBA;Aratuba;2301406
2301505;ARNEIROZ;Arneiroz;2301505
2301604;ASSARE;Assaré;2301604
2301703;AURORA;Aurora;2301703
2301802;BAIXIO;Baixio;2301802
2301851;BANABUIU;Banabuiú;2301851
2301901;BARBALHA;Barbalha;2301901
2301950;BARREIRA;Barreira;2301950
2302008;BARRO;Barro;2302008
2302057;BARROQUINHA;Barroquinha;2302057
2302107;BATURITE;Baturité;2302107
2302206;BEBERIBE;Beberibe;2302206
2302305;BELA CRUZ;Bela Cruz;2302305
2302404;BOA VIAGEM;Boa Viagem;2302404
2302503;BREJO SANTO;Brejo Santo;2302503
2302602;CAMOCIM;Camocim;2302602
2302701;CAMPOS SALES;Campos Sales;2302701
2302800;CANINDE;Canindé;2302800
2302909;CAPISTRANO;Capistrano;2302909
2303006;CARIDADE;Caridade;2303006
2303105;CARIRE;Cariré;2303105
2303204;CARIRIACU;Caririaçu;2303204
2303303;CARIUS;Cariús;2303303
2303402;CARNAUBAL;Carnaubal;2303402
2303501;CASCAVEL;Cascavel;2303501
2303600;CATARINA;Catarina;2303600
2303659;CATUNDA;Catunda;2303659
2303709;CAUCAIA;Caucaia;2303709
2303808;CEDRO;Cedro;2303808
2303907;CHAVAL;Chaval;2303907
2303931;CHORO;Choró;2303931
2303956;CHOROZINHO;Chorozinho;2303956
2304004;COREAU;Coreaú;2304004
2304103;CRATEUS;Crateús;2304103
2304202;CRATO;Crato;2304202
2304236;CROATA;Croatá;2304236
2304251;CRUZ;Cruz;2304251
2304269;DEPUTADO IRAPUAN PINHEIRO;Deputado Irapuan Pinheiro;2304269
2304277;ERERE;Ererê;2304277
2304285;EUSEBIO;Eusébio;2304285
2304301;FARIAS BRITO;Farias Brito;2304301
2304350;FORQUILHA;Forquilha;2304350
2304400;FORTALEZA;Fortaleza;2304400
2304459;FORTIM;Fortim;2304459
2304509;FRECHEIRINHA;Frecheirinha;2304509
2304608;GENERAL SAMPAIO;General Sampaio;2304608
2304657;GRACA;Graça;2304657
2304707;GRANJA;Granja;2304707
2304806;GRANJEIRO;Granjeiro;2304806
2304905;GROAIRAS;Groaíras;2304905
2304954;GUAIUBA;Guaiúba;2304954
2305001;GUARACIABA DO NORTE;Guaraciaba do Norte;2305001
2305100;GUARAMIRANGA;Guaramiranga;2305100
2305209;HIDROLANDIA;Hidrolândia;2305209
2305233;HORIZONTE;Horizonte;2305233
2305266;IBARETAMA;Ibaretama;2305266
2305308;IBIAPINA;Ibiapina;2305308
2305332;IBICUITINGA;Ibicuitinga;2305332
2305357;ICAPUI;Icapuí;2305357
2305407;ICO;Icó;2305407
2305506;IGUATU;Iguatu;2305506
2305605;INDEPENDENCIA;Independência;2305605
2305654;IPAPORANGA;Ipaporanga;2305654
2305704;IPAUMIRIM;Ipaumirim;2305704
2305803;IPU;Ipu;2305803
2305902;IPUEIRAS;Ipueiras;1709807
2306009;IRACEMA;Iracema;1400282
2306108;IRAUCUBA;Irauçuba;2306108
2306207;ITAICABA;Itaiçaba;2306207
2306256;ITAITINGA;Itaitinga;2306256
2306306;ITAPAGE;Itapagé;2306306
2306405;ITAPIPOCA;Itapipoca;2306405
2306504;ITAPIUNA;Itapiúna;2306504
2306553;ITAREMA;Itarema;2306553
2306603;ITATIRA;Itatira;2306603
2306702;JAGUARETAMA;Jaguaretama;2306702
2306801;JAGUARIBARA;Jaguaribara;2306801
2306900;JAGUARIBE;Jaguaribe;2306900
2307007;JAGUARUANA;Jaguaruana;2307007
2307106;JARDIM;Jardim;5005004
2307205;JATI;Jati;2307205
2307254;JIJOCA DE JERICOACOARA;Jijoca de Jericoacoara;2307254
2307304;JUAZEIRO DO NORTE;Juazeiro do Norte;2307304
2307403;JUCAS;Jucás;2307403
2307502;LAVRAS DA MANGABEIRA;Lavras da Mangabeira;2307502
2307601;LIMOEIRO DO NORTE;Limoeiro do Norte;2307601
2307635;MADALENA;Madalena;2307635
2307650;MARACANAU;Maracanaú;2307650
2307700;MARANGUAPE;Maranguape;2307700
2307809;MARCO;Marco;2307809
2307908;MARTINOPOLE;Martinópole;2307908
2308005;MASSAPE;Massapê;2308005
2308104;MAURITI;Mauriti;2308104
2308203;MERUOCA;Meruoca;2308203
2308302;MILAGRES;Milagres;2308302
2308351;MILHA;Milhã;2308351
2308377;MIRAIMA;Miraíma;2308377
3125606;FELISBURGO;Felisburgo;3125606
3125705;FELIXLANDIA;Felixlândia;3125705
3125804;FERNANDES TOURINHO;Fernandes Tourinho;3125804
3125903;FERROS;Ferros;3125903
3125952;FERVEDOURO;Fervedouro;3125952
3126000;FLORESTAL;Florestal;3126000
3126109;FORMIGA;Formiga;3126109
3126208;FORMOSO;Formoso;5208103
3126307;FORTALEZA DE MINAS;Fortaleza de Minas;3126307
3126406;FORTUNA DE MINAS;Fortuna de Minas;3126406
3126505;FRANCISCO BADARO;Francisco Badaró;3126505
3126604;FRANCISCO DUMONT;Francisco Dumont;3126604
3126703;FRANCISCO SA;Francisco Sá;3126703
3126752;FRANCISCOPOLIS;Franciscópolis;3126752
3126802;FREI GASPAR;Frei Gaspar;3126802
3126901;FREI INOCENCIO;Frei Inocêncio;3126901
3126950;FREI LAGONEGRO;Frei Lagonegro;3126950
3127008;FRONTEIRA;Fronteira;3127008
3127057;FRONTEIRA DOS VALES;Fronteira dos Vales;3127057
3127073;FRUTA DE LEITE;Fruta de Leite;3127073
3127107;FRUTAL;Frutal;3127107
3127206;FUNILANDIA;Funilândia;3127206
3127305;GALILEIA;Galiléia;3127305
3127339;GAMELEIRAS;Gameleiras;3127339
3127354;GLAUCILANDIA;Glaucilândia;3127354
3127370;GOIABEIRA;Goiabeira;3127370
3127388;GOIANA;Goianá;3127388
3127404;GONCALVES;Gonçalves;3127404
3127503;GONZAGA;Gonzaga;3127503
3127602;GOUVEIA;Gouveia;3127602
3127701;GOVERNADOR VALADARES;Governador Valadares;3127701
3127800;GRAO MOGOL;Grão Mogol;3127800
3127909;GRUPIARA;Grupiara;3127909
3128006;GUANHAES;Guanhães;3128006
3128105;GUAPE;Guapé;3128105
3128204;GUARACIABA;Guaraciaba;4206405
3128253;GUARACIAMA;Guaraciama;3128253
3128303;GUARANESIA;Guaranésia;3128303
3128402;GUARANI;Guarani;3128402
3128501;GUARARA;Guarará;3128501
3128600;GUARDA-MOR;Guarda-Mor;3128600
3128709;GUAXUPE;Guaxupé;3128709
3128808;GUIDOVAL;Guidoval;3128808
3128907;GUIMARANIA;Guimarânia;3128907
3129004;GUIRICEMA;Guiricema;3129004
3129103;GURINHATA;Gurinhatã;3129103
3129202;HELIODORA;Heliodora;3129202
3129301;IAPU;Iapu;3129301
3129400;IBERTIOGA;Ibertioga;3129400
3129509;IBIA;Ibiá;3129509
3129608;IBIAI;Ibiaí;3129608
3129657;IBIRACATU;Ibiracatu;3129657
3129707;IBIRACI;Ibiraci;3129707
3129806;IBIRITE;Ibirité;3129806
2308401;MISSAO VELHA;Missão Velha;2308401
2308500;MOMBACA;Mombaça;2308500
2308609;MONSENHOR TABOSA;Monsenhor Tabosa;2308609
2308708;MORADA NOVA;Morada Nova;2308708
2308807;MORAUJO;Moraújo;2308807
2308906;MORRINHOS;Morrinhos;2308906
2309003;MUCAMBO;Mucambo;2309003
2309102;MULUNGU;Mulungu;2309102
2309201;NOVA OLINDA;Nova Olinda;1714880
2309300;NOVA RUSSAS;Nova Russas;2309300
2309409;NOVO ORIENTE;Novo Oriente;2309409
2309458;OCARA;Ocara;2309458
2309508;OROS;Orós;2309508
2309607;PACAJUS;Pacajus;2309607
2309706;PACATUBA;Pacatuba;2804904
2309805;PACOTI;Pacoti;2309805
2309904;PACUJA;Pacujá;2309904
2310001;PALHANO;Palhano;2310001
2310100;PALMACIA;Palmácia;2310100
2310209;PARACURU;Paracuru;2310209
2310258;PARAIPABA;Paraipaba;2310258
2310308;PARAMBU;Parambu;2310308
2310407;PARAMOTI;Paramoti;2310407
2310506;PEDRA BRANCA;Pedra Branca;2310506
2310605;PENAFORTE;Penaforte;2310605
2310704;PENTECOSTE;Pentecoste;2310704
2310803;PEREIRO;Pereiro;2310803
2310852;PINDORETAMA;Pindoretama;2310852
2310902;PIQUET CARNEIRO;Piquet Carneiro;2310902
2310951;PIRES FERREIRA;Pires Ferreira;2310951
2311009;PORANGA;Poranga;2311009
2311108;PORTEIRAS;Porteiras;2311108
2311207;POTENGI;Potengi;2311207
2311231;POTIRETAMA;Potiretama;2311231
2311264;QUITERIANOPOLIS;Quiterianópolis;2311264
2311306;QUIXADA;Quixadá;2311306
2311355;QUIXELO;Quixelô;2311355
2311405;QUIXERAMOBIM;Quixeramobim;2311405
2311504;QUIXERE;Quixeré;2311504
2311603;REDENCAO;Redenção;1506138
2311702;RERIUTABA;Reriutaba;2311702
2311801;RUSSAS;Russas;2311801
2311900;SABOEIRO;Saboeiro;2311900
2311959;SALITRE;Salitre;2311959
2312007;SANTANA DO ACARAU;Santana do Acaraú;2312007
2312106;SANTANA DO CARIRI;Santana do Cariri;2312106
2312205;SANTA QUITERIA;Santa Quitéria;2312205
2312304;SAO BENEDITO;São Benedito;2312304
